Exam Flag	Course Code	Course Name	Part	Sem
CBCS	103	(CBCS) B.(VOC) HEALTH CARE MANAGEMENT	III	VI
CBCS	104	(CBCS) B.(VOC) PRINTING TECHNOLOGY	III	VI
CBCS	105	(CBCS) B.(VOC) WEB DESIGNING	III	VI
CBCS	106	(CBCS) B. VOC. (BANKING & FINANCE) : BANKING, FINANCIAL SERVICES & INSURANCE (BFSI) SECTOR	III	VI
CBCS	107	(CBCS) B. VOC. (SOFTWARE DEVELOPMENT) IT/ITES	III	VI
CBCS	501	(CBCS) B.A.(PROG)	III	VI
CBCS	503	(CBCS) B.COM (PROG.)	III	VI
CBCS	504	(CBCS) B.COM (HONS.)	III	VI
CBCS	505	(CBCS) B.A.(HONS.) APPLIED PSYCHOLOGY	III	VI
CBCS	506	(CBCS) B.A.(HONS.) ARABIC	III	VI
CBCS	507	(CBCS) B.A.(HONS.) BENGALI	III	VI
CBCS	508	(CBCS) B.A.(HONS.) BUSINESS ECONOMICS	III	VI
CBCS	510	(CBCS) B.A.(HONS.) ECONOMICS	III	VI
CBCS	511	(CBCS) B.A.(HONS.) ENGLISH	III	VI
CBCS	512	(CBCS) B.A.(HONS.) FRENCH	III	VI
CBCS	513	(CBCS) B.A.(HONS.) GEOGRAPHY	III	VI
CBCS	514	(CBCS) B.A.(HONS.) GERMAN	III	VI
CBCS	516	(CBCS) B.A.(HONS.) HINDI	III	VI
CBCS	518	(CBCS) B.A.(HONS.) HISTORY	III	VI
CBCS	519	(CBCS) B.A.(HONS.) ITALIAN	III	VI
CBCS	520	(CBCS) B.A.(HONS.) JOURNALISM	III	VI
CBCS	522	(CBCS) B.A.(HONS.) MULTI MEDIA AND MASS COMMUNICATION	III	VI
CBCS	523	(CBCS) B.A.(HONS.) HINDUSTANI MUSIC (VOCAL/INSTRUMENTAL)	III	VI
CBCS	524	(CBCS) B.A.(HONS.) PUNJABI	III	VI
CBCS	525	(CBCS) B.A.(HONS.) PERSIAN	III	VI
CBCS	526	(CBCS) B.A.(HONS.) PHILOSOPHY	III	VI
CBCS	527	(CBCS) B.A.(HONS.) POLITICAL SCIENCE	III	VI
CBCS	528	(CBCS) B.A.(HONS.) PSYCHOLOGY	III	VI
CBCS	529	(CBCS) B.A.(HONS.) SANSKRIT	III	VI
CBCS	530	(CBCS) B.A.(HONS.) SOCIOLOGY	III	VI
CBCS	531	(CBCS) B.A.(HONS.) SPANISH	III	VI
CBCS	532	(CBCS) B.A.(HONS.) SOCIAL WORK	III	VI
CBCS	533	(CBCS) B.A.(HONS.) URDU	III	VI
CBCS	535	(CBCS) BACHELOR OF BUSINESS ADMINISTRATION	III	VI
CBCS	544	(CBCS) B.A.(HONS.) KARNATAK MUSIC	III	VI
CBCS	551	(CBCS) B.SC.(HONS.) ANTHROPOLOGY	III	VI
CBCS	553	(CBCS) B.SC.(HONS.) BIOCHEMISTRY	III	VI
CBCS	554	(CBCS) B.SC.(HONS.) BIOMEDICAL SCIENCES	III	VI
CBCS	555	(CBCS) B.SC.(HONS.) BIOLOGICAL SCIENCE	III	VI
CBCS	556	(CBCS) B.SC.(HONS.) BOTANY	III	VI
CBCS	557	(CBCS) B.SC.(HONS.) CHEMISTRY	III	VI
CBCS	558	(CBCS) B.SC.(HONS.) ELECTRONIC SCIENCE	III	VI
CBCS	559	(CBCS) B.SC.(HONS.) FOOD TECHNOLOGY	III	VI
CBCS	560	(CBCS) B.SC.(HONS.) GEOLOGY	III	VI
CBCS	561	(CBCS) B.SC.(HONS.) HOME SCIENCE	III	VI
CBCS	562	(CBCS) B.SC.(HONS.) INSTRUMENTATION	III	VI
CBCS	563	(CBCS) B.SC.(HONS.) MATHEMATICS	III	VI
CBCS	564	(CBCS) B.SC.(HONS.) MICROBIOLOGY	III	VI
CBCS	566	(CBCS) B.SC.(HONS.) POLYMER SCIENCE	III	VI
CBCS	567	(CBCS) B.SC.(HONS.) PHYSICS	III	VI
CBCS	568	(CBCS) B.SC.(HONS.) STATISTICS	III	VI
CBCS	569	(CBCS) B.SC.(HONS.) ZOOLOGY	III	VI
CBCS	570	(CBCS) B.SC.(HONS.) COMPUTER SCIENCE	III	VI
CBCS	571	(CBCS) B.A.(VOC) HUMAN RESOURCE MANAGEMENT	III	VI
CBCS	572	(CBCS) B.A.(VOC) MANAGEMENT AND MARKETING OF INSURANCE	III	VI
CBCS	573	(CBCS) B.A.(VOC) MARKETING MANAGEMENT AND RETAIL BUSINESS	III	VI
CBCS	574	(CBCS) B.A.(VOC) MATERIALS MANAGEMENT	III	VI
CBCS	575	(CBCS) B.A.(VOC) OFFICE MANAGEMENT & SECRETARIAL PRACTICE	III	VI
CBCS	576	(CBCS) B.A.(VOC) SMALL AND MEDIUM ENTERPRISES	III	VI
CBCS	577	(CBCS) B.A.(VOC) TOURISM MANAGEMENT	III	VI
CBCS	582	(CBCS) B.SC. PHYSICAL SCIENCE	III	VI
CBCS	583	(CBCS) B.SC. LIFE SCIENCE	III	VI
CBCS	584	(CBCS) B.SC. INDUSTRIAL CHEMISTRY	III	VI
CBCS	585	(CBCS) B.SC. ANALYTICAL CHEMISTRY	III	VI
CBCS	586	(CBCS) B.SC. APPLIED LIFE SCIENCES WITH AGRO-CHEMICALS AND PEST MANAGEMENT	III	VI
CBCS	587	(CBCS)-B.SC. (MATHEMATICAL SCIENCES)	III	VI
CBCS	588	(CBCS) B.A.(HONS.) HINDI JOURNALISM & MASS COMMUNICATION	III	VI
CBCS	589	(CBCS) B.SC. (PHYSICAL EDUCATION,HEALTH EDUCATION & SPORTS)	III	VI
CBCS	590	(CBCS) BACHELOR OF MANAGEMENT STUDIES	III	VI
CBCS	591	(CBCS) B.SC.(PASS) HOME SCIENCE	III	VI
CBCS	592	(CBCS) B.A.(HONS.) PERCUSSION MUSIC	III	VI
CBCS	601	(CBCS) FIVE YEAR INTEGRATED PROGRAM IN JOURNALISM	III	VI
CBCS	914	(CBCS) (C.I.C) - B.A. HONOURS (HUMANITIES & SOCIAL SCIENCES)	III	VI
CERTIFICATE_DIPLOMA	194	PG-Diploma in Business Journalism and Corporate Communication (PG-DBJCC)	I	II
CERTIFICATE_DIPLOMA	195	Post Graduate Diploma in International Marketing (PGDIM)	I	II
PG_ANNUAL	865	(P.G.) M. ED. (MASTER OF EDUCATION) - ANNUAL	I	NILL
PG_ANNUAL	865	(P.G.) M. ED. (MASTER OF EDUCATION) - ANNUAL	II	NILL
PG_SEMESTER_2Y	809	(P.G)-M.A. HISTORY	I	II
PG_SEMESTER_2Y	812	(P.G)-MASTER OF COMMERCE	I	II
PG_SEMESTER_2Y	813	(P.G)-(N.C.W.E.B) M.SC. MATHEMATICS	I	II
PG_SEMESTER_2Y	815	(P.G)-M.SC. MATHEMATICS	I	II
PG_SEMESTER_2Y	780	(P.G)-MBA (HRD)	II	IV
PG_SEMESTER_2Y	781	(P.G)-MBA (IB)	II	IV
PG_SEMESTER_2Y	801	(P.G)-(N.C.W.E.B) M.A. ENGLISH	II	IV
PG_SEMESTER_2Y	803	(P.G)-(N.C.W.E.B) M.A. HISTORY	II	IV
PG_SEMESTER_2Y	804	(P.G)-(N.C.W.E.B) M.A. POLITICAL SCIENCE	II	IV
PG_SEMESTER_2Y	805	(P.G)-(N.C.W.E.B) M.A. SANSKRIT	II	IV
PG_SEMESTER_2Y	807	(P.G)-M.A. ENGLISH	II	IV
PG_SEMESTER_2Y	809	(P.G)-M.A. HISTORY	II	IV
PG_SEMESTER_2Y	810	(P.G)-M.A. POLITICAL SCIENCE	II	IV
PG_SEMESTER_2Y	811	(P.G)-M.A. SANSKRIT	II	IV
PG_SEMESTER_2Y	812	(P.G)-MASTER OF COMMERCE	II	IV
PG_SEMESTER_2Y	813	(P.G)-(N.C.W.E.B) M.SC. MATHEMATICS	II	IV
PG_SEMESTER_2Y	814	(P.G)-M.SC. CHEMISTRY	II	IV
PG_SEMESTER_2Y	815	(P.G)-M.SC. MATHEMATICS	II	IV
PG_SEMESTER_2Y	816	(P.G)-M.SC. PHYSICS	II	IV
PG_SEMESTER_2Y	818	(P.G)-M.SC. BOTANY	II	IV
PG_SEMESTER_2Y	820	(P.G)-M.SC. STATISTICS	II	IV
PG_SEMESTER_2Y	821	(P.G)-M.SC.OPERATIONAL RESEARCH	II	IV
PG_SEMESTER_2Y	824	(P.G)-M.A. GEOGRAPHY	II	IV
PG_SEMESTER_2Y	826	(P.G)- MASTER OF BUSINESS ADMINISTRATION (FULL TIME)	II	IV
PG_SEMESTER_2Y	827	(P.G)- MASTER OF BUSINESS ADMINISTRATION (EXECUTIVE)	II	IV
PG_SEMESTER_2Y	828	(P.G)- MASTER OF BUSINESS ADMINISTRATION (EXECUTIVE) HEALTH CARE ADMINISTRATION	II	IV
PG_SEMESTER_2Y	SOL_812	(P.G)-(SOL) MASTER OF COMMERCE	II	IV
PG_SEMESTER_2Y	823	(P.G)- MASTER OF COMPUTER APPLICATION (M.C.A.)	III	VI
PG_SEMESTER_2Y_CBCS	703	(CBCS_PG) M.A. BENGALI	I	II
PG_SEMESTER_2Y_CBCS	705	(CBCS_PG) M.A. COMPARATIVE INDIAN LITERATURE	I	II
PG_SEMESTER_2Y_CBCS	706	(CBCS_PG) M.A. EAST ASIAN STUDIES	I	II
PG_SEMESTER_2Y_CBCS	707	(CBCS_PG) M.A. ECONOMICS	I	II
PG_SEMESTER_2Y_CBCS	709	(CBCS_PG) M.A. ENVIRONMENTAL STUDIES	I	II
PG_SEMESTER_2Y_CBCS	719	(CBCS_PG) M.A. LIFE LONG LEARNING & EXTENSION	I	II
PG_SEMESTER_2Y_CBCS	722	(CBCS_PG) M.A. PERSIAN	I	II
PG_SEMESTER_2Y_CBCS	728	(CBCS_PG) M.A. SANSKRIT	I	II
PG_SEMESTER_2Y_CBCS	729	(CBCS_PG) M.A. SOCIAL WORK	I	II
PG_SEMESTER_2Y_CBCS	744	(CBCS_PG) M.SC. BIOPHYSICS	I	II
PG_SEMESTER_2Y_CBCS	745	(CBCS_PG) M.SC. BOTANY	I	II
PG_SEMESTER_2Y_CBCS	746	(CBCS_PG) M.SC. CHEMISTRY	I	II
